product_id,category,subcategory,vendor_id,mrp,cost
P00001,Beauty & Personal Care,Face Wash,V0009,271.38,196.57
P00002,Electronics Accessories,Power Bank,V0069,996.37,669.8
P00003,Men Clothing,Jeans,V0189,931.35,598.71
P00004,Home & Kitchen,Bedsheet,V0139,951.81,691.36
P00005,Men Clothing,Jeans,V0099,1028.62,628.08
P00006,Women Clothing,Saree,V0196,384.44,249.34
P00007,Home & Kitchen,Bottle,V0074,800.67,628.29
P00008,Men Clothing,T-Shirt,V0103,669.06,497.47
P00009,Home & Kitchen,Bedsheet,V0123,548.85,342.37
P00010,Women Clothing,Dress,V0102,1012.19,758.69
P00011,Footwear,Casual Shoes,V0008,503.55,315.37
P00012,Home & Kitchen,Bottle,V0177,569.56,339.82
P00013,Footwear,Heels,V0152,1411.04,984.67
P00014,Beauty & Personal Care,Comb,V0161,171.72,102.35
P00015,Kids & Baby,Onesie,V0019,671.61,493.33
P00016,Electronics Accessories,Case,V0002,1168.01,663.57
P00017,Women Clothing,Kurti,V0055,1183.83,782.43
P00018,Home & Kitchen,Storage Box,V0139,709.76,560.66
P00019,Women Clothing,Kurti,V0017,309.01,207.21
P00020,Beauty & Personal Care,Face Wash,V0170,128.77,86.9
P00021,Footwear,Casual Shoes,V0061,565.32,439.69
P00022,Electronics Accessories,USB Cable,V0131,748.12,530.02
P00023,Women Clothing,Leggings,V0086,1145.32,911.58
P00024,Footwear,Heels,V0035,879.77,584.12
P00025,Beauty & Personal Care,Lipstick,V0103,144.44,79.9
P00026,Beauty & Personal Care,Lipstick,V0066,464.28,262.95
P00027,Beauty & Personal Care,Face Wash,V0001,327.23,180.27
P00028,Kids & Baby,Bottle,V0135,468.14,307.26
P00029,Footwear,Flip Flops,V0148,408.78,255.11
P00030,Home & Kitchen,Bedsheet,V0171,633.21,452.23
P00031,Men Clothing,Jeans,V0119,707.57,531.38
P00032,Women Clothing,Saree,V0134,322.68,184.3
P00033,Kids & Baby,Toy,V0055,125.55,85.87
P00034,Men Clothing,Shirt,V0100,975.85,568.56
P00035,Beauty & Personal Care,Face Wash,V0021,482.37,322.82
P00036,Men Clothing,Jeans,V0051,1285.08,937.3
P00037,Footwear,Sports Shoes,V0174,1071.84,742.37
P00038,Beauty & Personal Care,Shampoo,V0163,697.42,554.53
P00039,Kids & Baby,Diaper,V0100,421.87,280.03
P00040,Beauty & Personal Care,Lipstick,V0008,376.27,247.24
P00041,Electronics Accessories,Case,V0068,914.25,565.37
P00042,Electronics Accessories,USB Cable,V0107,1408.49,947.29
P00043,Kids & Baby,Diaper,V0144,604.2,404.11
P00044,Footwear,Heels,V0067,1147.86,728.0
P00045,Footwear,Sports Shoes,V0199,1031.01,695.51
P00046,Men Clothing,Kurta,V0192,602.83,464.41
P00047,Kids & Baby,Bottle,V0002,166.63,111.93
P00048,Women Clothing,Leggings,V0001,412.81,315.91
P00049,Kids & Baby,Toy,V0186,251.08,177.86
P00050,Men Clothing,Shirt,V0001,381.12,248.2
P00051,Footwear,Sandals,V0102,1374.2,812.86
P00052,Women Clothing,Kurti,V0115,928.52,558.16
P00053,Kids & Baby,Diaper,V0135,348.45,238.74
P00054,Men Clothing,T-Shirt,V0088,834.04,584.35
P00055,Home & Kitchen,Cookware,V0197,693.11,428.3
P00056,Home & Kitchen,Storage Box,V0092,490.16,274.16
P00057,Women Clothing,Dress,V0018,1044.63,793.16
P00058,Electronics Accessories,Power Bank,V0088,499.05,299.61
P00059,Women Clothing,Saree,V0160,245.24,194.38
P00060,Men Clothing,Kurta,V0173,1086.91,695.81
P00061,Beauty & Personal Care,Shampoo,V0033,388.14,241.81
P00062,Home & Kitchen,Bedsheet,V0073,656.66,478.92
P00063,Beauty & Personal Care,Shampoo,V0177,367.42,282.33
P00064,Home & Kitchen,Storage Box,V0161,588.47,344.88
P00065,Men Clothing,Track Pants,V0199,883.52,588.03
P00066,Home & Kitchen,Storage Box,V0196,944.32,611.9
P00067,Women Clothing,Dress,V0028,642.15,457.66
P00068,Beauty & Personal Care,Lipstick,V0087,415.19,267.22
P00069,Footwear,Heels,V0053,1487.22,930.32
P00070,Beauty & Personal Care,Eyeliner,V0044,265.52,203.41
P00071,Men Clothing,Track Pants,V0080,202.71,121.69
P00072,Footwear,Casual Shoes,V0183,988.06,583.56
P00073,Beauty & Personal Care,Eyeliner,V0138,690.48,459.9
P00074,Kids & Baby,Toy,V0014,457.42,269.92
P00075,Men Clothing,Shirt,V0103,517.32,364.01
P00076,Kids & Baby,Bottle,V0036,428.73,319.87
P00077,Electronics Accessories,Power Bank,V0034,586.54,418.43
P00078,Women Clothing,Kurti,V0088,519.07,361.63
P00079,Home & Kitchen,Storage Box,V0146,663.28,385.01
P00080,Kids & Baby,Bottle,V0016,428.18,236.78
P00081,Home & Kitchen,Bottle,V0165,575.03,416.54
P00082,Home & Kitchen,Bottle,V0041,210.91,165.49
P00083,Electronics Accessories,Case,V0025,823.44,646.08
P00084,Women Clothing,Dress,V0126,317.14,249.74
P00085,Beauty & Personal Care,Shampoo,V0008,164.52,109.47
P00086,Kids & Baby,Bottle,V0112,661.8,402.49
P00087,Beauty & Personal Care,Eyeliner,V0094,119.87,89.7
P00088,Women Clothing,Leggings,V0084,854.47,579.74
P00089,Footwear,Casual Shoes,V0146,292.93,208.95
P00090,Women Clothing,Saree,V0068,387.79,303.56
P00091,Home & Kitchen,Curtain,V0176,731.87,531.89
P00092,Beauty & Personal Care,Face Wash,V0198,238.55,183.73
P00093,Women Clothing,Dress,V0067,790.51,604.16
P00094,Beauty & Personal Care,Face Wash,V0146,261.57,193.26
P00095,Women Clothing,Kurti,V0111,831.02,467.12
P00096,Men Clothing,Jeans,V0018,644.88,384.33
P00097,Kids & Baby,Toy,V0056,314.5,203.12
P00098,Home & Kitchen,Bottle,V0151,552.69,386.92
P00099,Women Clothing,Kurti,V0035,827.08,462.95
P00100,Electronics Accessories,USB Cable,V0134,1188.36,935.59
P00101,Women Clothing,Dupatta,V0118,582.55,346.58
P00102,Men Clothing,Kurta,V0026,793.0,575.9
P00103,Electronics Accessories,Power Bank,V0061,1098.63,772.37
P00104,Electronics Accessories,Case,V0088,432.79,328.58
P00105,Women Clothing,Dupatta,V0015,667.18,403.89
P00106,Men Clothing,Jeans,V0091,293.89,192.26
P00107,Electronics Accessories,Power Bank,V0032,1022.47,732.44
P00108,Kids & Baby,Onesie,V0140,676.64,398.06
P00109,Home & Kitchen,Bedsheet,V0133,986.91,704.33
P00110,Footwear,Heels,V0064,817.79,631.37
P00111,Home & Kitchen,Bedsheet,V0199,739.31,471.07
P00112,Beauty & Personal Care,Face Wash,V0086,629.45,451.1
P00113,Beauty & Personal Care,Shampoo,V0155,518.3,401.22
P00114,Men Clothing,Track Pants,V0045,692.26,494.43
P00115,Electronics Accessories,Charger,V0035,1180.86,783.48
P00116,Home & Kitchen,Curtain,V0026,219.93,163.38
P00117,Home & Kitchen,Storage Box,V0023,189.64,138.34
P00118,Footwear,Sandals,V0141,1388.59,884.18
P00119,Men Clothing,Kurta,V0131,311.27,189.32
P00120,Kids & Baby,Frock,V0029,436.37,342.84
P00121,Electronics Accessories,Case,V0194,890.35,514.79
P00122,Men Clothing,T-Shirt,V0064,889.56,652.24
P00123,Women Clothing,Saree,V0156,631.61,461.32
P00124,Home & Kitchen,Storage Box,V0164,425.1,317.67
P00125,Men Clothing,T-Shirt,V0113,574.18,352.56
P00126,Men Clothing,Jeans,V0134,1166.1,801.25
P00127,Footwear,Heels,V0139,606.45,475.31
P00128,Kids & Baby,Bottle,V0166,513.51,310.76
P00129,Women Clothing,Dupatta,V0118,875.11,671.72
P00130,Beauty & Personal Care,Comb,V0162,516.69,315.8
P00131,Home & Kitchen,Cookware,V0067,700.52,493.72
P00132,Footwear,Sandals,V0108,1276.05,758.66
P00133,Kids & Baby,Onesie,V0174,518.78,288.88
P00134,Kids & Baby,Onesie,V0086,516.71,408.25
P00135,Men Clothing,T-Shirt,V0029,390.83,245.37
P00136,Home & Kitchen,Bottle,V0060,644.44,472.44
P00137,Beauty & Personal Care,Shampoo,V0054,305.62,218.85
P00138,Kids & Baby,Frock,V0093,638.57,467.2
P00139,Men Clothing,Jeans,V0069,981.12,633.31
P00140,Kids & Baby,Frock,V0117,645.86,400.0
P00141,Women Clothing,Dupatta,V0009,424.81,272.33
P00142,Kids & Baby,Frock,V0126,489.09,374.36
P00143,Home & Kitchen,Curtain,V0077,261.27,196.85
P00144,Kids & Baby,Bottle,V0010,586.69,408.77
P00145,Kids & Baby,Diaper,V0102,555.39,330.72
P00146,Footwear,Heels,V0196,461.98,353.74
P00147,Women Clothing,Saree,V0058,746.96,456.76
P00148,Beauty & Personal Care,Eyeliner,V0113,512.24,395.94
P00149,Beauty & Personal Care,Eyeliner,V0180,478.39,304.66
P00150,Home & Kitchen,Bottle,V0162,559.75,413.13
P00151,Beauty & Personal Care,Face Wash,V0106,139.5,84.3
P00152,Electronics Accessories,Case,V0035,828.23,580.64
P00153,Footwear,Casual Shoes,V0103,673.96,420.95
P00154,Home & Kitchen,Bedsheet,V0103,184.18,102.8
P00155,Kids & Baby,Bottle,V0161,266.22,181.73
P00156,Electronics Accessories,Earphones,V0200,945.46,636.78
P00157,Beauty & Personal Care,Lipstick,V0160,344.93,211.47
P00158,Kids & Baby,Toy,V0183,339.42,198.45
P00159,Home & Kitchen,Storage Box,V0097,246.97,154.35
P00160,Electronics Accessories,Case,V0136,1494.19,943.76
P00161,Beauty & Personal Care,Shampoo,V0174,660.87,428.29
P00162,Men Clothing,T-Shirt,V0142,681.91,510.93
P00163,Men Clothing,Jeans,V0136,302.0,179.87
P00164,Women Clothing,Dress,V0106,1270.22,859.28
P00165,Men Clothing,Shirt,V0071,247.74,139.19
P00166,Electronics Accessories,Case,V0077,1384.05,1063.42
P00167,Footwear,Heels,V0054,823.0,486.23
P00168,Men Clothing,Shirt,V0021,1112.31,702.04
P00169,Home & Kitchen,Curtain,V0111,505.2,364.06
P00170,Home & Kitchen,Cookware,V0075,449.39,317.79
P00171,Home & Kitchen,Bottle,V0014,901.49,675.53
P00172,Men Clothing,T-Shirt,V0002,618.77,384.87
P00173,Kids & Baby,Bottle,V0189,270.31,172.23
P00174,Men Clothing,Shirt,V0108,741.87,485.29
P00175,Women Clothing,Dress,V0145,345.3,204.03
P00176,Footwear,Sandals,V0078,678.66,468.63
P00177,Kids & Baby,Bottle,V0048,454.6,305.29
